Brand,Product Name,Top Notes,Heart Notes,Based Notes,Mood
HMNS,The Prestige,"grapefruit, tobacco leaves, pink pepper","patchouli, geranium, orris","tolu, vetiver, labdanum","vibrant, spotlight"
HMNS,Untitled Humans,"Corriander, Violet leaves, Ambrette","Figolide, Velvet, Rose Absolute","Sandalwood, Cypriol, Vanilla Jungle Essence","uniqueness without labels, freedom of self-expression"
HMNS,The Perfection,"Bergamot, Elemi, Indonesian Clove (Cengkeh), Nutmeg","Lavender, Tagetes, Lily of the Valley, Green Pear","Driftwood, Sandalwood, Leather, Musky","luxurious, clean impression, captivating, unforgettable, looking for a signature scent, wanting to make a statement at important occasions."
HMNS,Essence of the Sun (EoS),"Bergamot, Corriander Seeds, Pink Pepper","Indian Jasmine Sambac, Turkish Rose, Tiare Flower, solar Accord","Tonka Bean, Ambrette, Cedarwood","radiant, warm impression, will brighten your day, sense of vitality, positivity, energize our senses"
HMNS,Unpatched,"vanilla madagascar, jasmine sambac, chocolate","caramel, akigaiwood, rose","tonka bean, amber, musk","sweet, smoky, well-worn book's embrace, connection with nature, timeless romance"
HMNS,Darker Shades of Orgsm,"Orange Blossom, Apple, Pepper","Cypriol, Caramel, Patchouli","Vanilla Beans, Cedarwood, Amber, Vetiver","smoky, mysterious, stand out, sensuous, alluring aroma, elegance, sophistication, unique, unforgettable fragrance"
HMNS,Ambar Janma Manusia Harum,"Bulgarian Rose, Neroli, Pink Pepper, Lily of The Valley, Black Tea",,"Sandalwood, Amberwood, Suede, Gayo Patchouli","luxurious, elegant, unparalleled sophistication, refined"
HMNS,Alpha,"Citrus, Grass","Green Tea, Wood","Cedarwood, Vetiver","fresh, calming,  bring peace, joy to your life"
HMNS,Orgsm,Apple,"Rose, Jasmine, Pny","Amber, Vanilla Beans","irresistible, insatiable thirst, make everyone blown away, time to shine, time to glow, self-love"
HMNS,Farhampton,Bergamot,"Lavender, Orange Blossom Flowers","Labdanum (amber), Cedarwood, Tonka Bean","Aromatic, Fougere, Fruity, pure bliss, refreshing and invigorating sensation, spicy impression, warm, long-lasting embrace"
HMNS,Addict,Berries,"Red Rose, Coffee","Patchouli, Amber, Tonka Bean","floral, oriental, addictive, lasting impression that you won't be able to resist, mesmerized and wanting more"
HMNS,Unrosed,Palmarosa,,musk,"sensuality of a floral, smell like different scent of rose, grounding Earthy scent, noble trail"
Alchemist,{06} Onirique,"pear, orange, clary sage","tuberose, orange blossom, jasmine","vanilla, cedarwood, satin musks","elegance, opulence, classic"
Alchemist,{07} Galleria,"cape jasmine, plum","tuberose, oeillet","honey, redwood","Sweet floral, romance, relaxed"
Alchemist,{05} Out West,"yuzu, bergamot, green apple","cedarwood, rose, plum","musk, patchouli, vetiver","warm, earthy, tranquil"
Alchemist,{04} Home Garden,"blackberry, grapefruit, clove","cedar, vetiver",floral,"nature, green"
Alchemist,{03} Got My Mojo Back,"chocolate, blackcurrant, almond","cedarwood, tuberose, sambac, jasmine","praline HS, sandalwood, amber","Gourmand, Long nights, Dazzling in gold"
Alchemist,{02} Pink Laundry,"clean aldehydes, chamomile, green notes","jasmine, lily of the valley, rose","musky notes, patchouli, sandalwood, powdery notes","Soft skin, Delicate, Hotel linen"
Alchemist,{01} Powder Room,"fresh watery accord, rose, pink pepper","violet, orange blossom, pny","musky notes, marine notes, sandalwood","Clean, Crisp, Powdery"
Etre,For The Memories Of,,,,"an elegant, eloquent, vibrant fragrance"
Etre,A Place We Call Home,,,,"clean, bright, sophisticated"
Etre,Tout Feu Tout Flamme EDP,"Fougere, Ambery, Woody","Clary Sage, Cistus Labdanum",,"Rich, Exquisite, Passionate"
Etre,Force d'Âme,"Floral, woody, musky","Rose, Cedarwood",,"Harmonious, Enduring, Serene"
Etre,Volcanique,"Ambery, Floral, Woody","Iris, Patchouli",,"Passionate, Boundless, Exuberant"
Etre,Libre d'Esprit,"Fruity, Floral, Green","Watermelon, Coconut",,"Lively, Sparkling, Delightful"
Carl & Claire,Emily in Paris - Enchante,"Citrus, Ginger, Peach","White Flowers, Jasmine, Tuberose, heliotrope","Ambrette, Musk, Gourmand",Floral
Carl & Claire,Delicate Embrace,"Citrus, Freesia, Fruity, Pear","Lily of The Valley, Rose","Ambery, Musky",Floral
Carl & Claire,Spring Sonata,"Citrus, Rose, Pny, Jasmine, Fruity","Floral, Fruity, Lactonic","Ambery, Floral, Musky",Floral
Carl & Claire,A Love Like This,"Lily, Aromatic, Eucalyptus, Ginger","Lily, Ambery, Jasmine","Cedarwood, Musky, Patchouli",Floral
Carl & Claire,Dancing with my Shadow,"Floral, Fresh, Herbacus","Floral, Oriental, Rose","Ambery, Balsamic, Musky",Floral
Carl & Claire,Black Dahlia,"White Floral, Gourm, Coffee","Vanilla, Floral, Woody","Ambery, Musky, Sweet",Luxury
Carl & Claire,Talking to the Moon,"Fruity, Orange Blossom","Jasmine, Tuberose, Woody","Ambery, Musky, Sweet",Luxury
Carl & Claire,Song of the Youth,"Citrus, Floral, Fruity","Magnolia, Musky, Iris, Vanilla","Ambery, Animalic, Moss",Luxury
Carl & Claire,Into the Woods,"Violet, Lotus, Verbena","Lily of The Valley, Tea Rose","Sandalwood, Amber, Musk",Fresh
Carl & Claire,Take My Hand,"Bergamot, Fruity, Floral","Floral, Patchouli","Ambery, Animalic",Fresh
Carl & Claire,Morning Glory,"Citrus, White Floral, Fruity","Floral, Jasmine, Lily of The Valley","Moss, Musky, Oriental",Fresh
Carl & Claire,Mystical Mirage,"oud, Turkish rose, violet, vanilla",,,"dreamy, ethereal experience"
Carl & Claire,"Garden of Eden (ex,Lavish)","Saffron, Jasmine","Amber, Wood",Cedarwood,Luxury
Crusita,Black Love,"Pink Pepper, Orange Blossom, Pear","Coffee, Jasmine, Bitter Almond","Vanilla, Patchouli, Cedar","sensual, sweet, cedar"
Crusita,Busy Day,"Bergamot,Blackcurrant, Marin","Lavender, Geranium, Powdery","Patchouli, Vetiver,Tonka Bean",
Crusita,Deep Mountain,"Lemon, Bergamot, Pink Pepper","Lavender, Leather, Sage","Patchouli, Ambery, Vetvier","strong, fresh, green, woody"
Crusita,Famous,"Jasmine, Plum, Bitter orange, Marin","Rose, Solar, Floral, Watery","Vanilla, Musk, Sandalwood, Cashmere Wood, Praline",
Crusita,Gentlemen,"Grapefruit, Blood Marin, Green apple","Cedarwood, Nutmeg, Water lily","Sandalwood,Vanila, Musks","charismatic, elegant, soft, masculine"
Crusita,Lady Rose,"Peach, Green, Blackcurrant, Pepper","Rose, Iris","White Musk, Cedar Wood, Violet Leaf","fresh, luxurious"
Crusita,Mystique Of Java,"Bergamot , Lavender , Petitgrain, Galbanum","Jasmine, Ylang-Ylang, Lily of the Valley, Orange Blossom, Narcissus","Vanilla, Cedar, Moss, Styrax","nostalgic, cultural"
Crusita,Rich Gold,"Green, Spicy, Aromatic","Oud, Balsamic","Vanilla, Agarwood, Musky","brave, elegant, mature"
Crusita,Scandal,"Wild Berries,Apricot, Apple Blossom","Cherry Blossom, Orchid, Heliotrope","Vanilla, Marshmallow,Musk","sweet, calm, soft, elegant, luxurious"
Crusita,Sweet Pny,"Red Apple, Bergamot, Carnation","Rose, Pny, Jasmine","Suede, White Woods, Ambery, Musk","floral fresh, luxurious, bright"
